# Rebinned data: ./467480_SMA0p5_DMPC_Aug_RB.dat
# Original data: ./467480_SMA0p5_DMPC_Aug.dat
# q I dI
0.009888 0.011605 0.000143
0.010085 0.011809 0.000100
0.010348 0.011519 0.000098
0.010611 0.011289 0.000095
0.010874 0.011147 0.000092
0.011136 0.011154 0.000087
0.011399 0.011203 0.000085
0.011662 0.010967 0.000082
0.011925 0.010777 0.000079
0.012188 0.010582 0.000079
0.012451 0.010318 0.000078
0.012713 0.010281 0.000073
0.012976 0.010098 0.000073
0.013239 0.010006 0.000069
0.013502 0.009686 0.000067
0.013765 0.009680 0.000067
0.014028 0.009612 0.000065
0.014290 0.009522 0.000065
0.014553 0.009457 0.000065
0.014816 0.009124 0.000062
0.015079 0.009063 0.000060
0.015342 0.008756 0.000060
0.015604 0.008852 0.000059
0.015867 0.008540 0.000057
0.016196 0.008495 0.000046
0.016590 0.008261 0.000046
0.016984 0.008047 0.000043
0.017379 0.007853 0.000044
0.017773 0.007649 0.000043
0.018167 0.007426 0.000042
0.018561 0.007264 0.000042
0.018956 0.007143 0.000041
0.019350 0.006880 0.000040
0.019744 0.006804 0.000040
0.020138 0.006608 0.000039
0.020533 0.006426 0.000039
0.020927 0.006277 0.000037
0.021321 0.006016 0.000038
0.021781 0.005849 0.000032
0.022307 0.005758 0.000031
0.022832 0.005513 0.000031
0.023358 0.005343 0.000030
0.023884 0.005053 0.000030
0.024409 0.004947 0.000029
0.024935 0.004734 0.000029
0.025461 0.004457 0.000028
0.025986 0.004392 0.000027
0.026578 0.004189 0.000024
0.027235 0.004044 0.000024
0.027892 0.003827 0.000024
0.028549 0.003593 0.000024
0.029206 0.003476 0.000023
0.029863 0.003256 0.000022
0.030520 0.003146 0.000022
0.031177 0.002964 0.000023
0.031900 0.002765 0.000021
0.032688 0.002612 0.000021
0.033477 0.002414 0.000020
0.034265 0.002359 0.000020
0.035054 0.002170 0.000022
0.035842 0.002004 0.000019
0.036696 0.001878 0.000019
0.037616 0.001735 0.000017
0.038536 0.001597 0.000017
0.039456 0.001467 0.000016
0.040376 0.001377 0.000074
0.041362 0.001211 0.000016
0.042413 0.001079 0.000016
0.043464 0.000974 0.000016
0.044516 0.000851 0.000024
0.045567 0.000789 0.000017
0.046684 0.000686 0.000017
0.047867 0.000616 0.000019
0.049049 0.000467 0.000041
0.050232 0.000420 0.000027
0.051481 0.000387 0.000033
0.052795 0.000338 0.000112
0.054109 0.000299 0.000041
0.055489 0.000266 0.000197
0.056934 0.000194 0.000029
0.058380 0.000159 0.000037
0.059825 0.000180 0.000073
0.061337 0.000165 0.000057
0.062914 0.000154 0.000076
0.064491 0.000152 0.000057
0.066133 0.000179 0.000120
0.067842 0.000201 0.000215
0.069616 0.000214 0.000066
0.071455 0.000253 0.000057
0.073295 0.000305 0.000155
0.075201 0.000331 0.000118
0.077172 0.000388 0.000029
0.079209 0.000365 0.000024
0.081311 0.000443 0.004045
0.083480 0.000499 0.000032
0.085714 0.000530 0.000027
0.088014 0.000579 0.000023
0.090379 0.000595 0.000357
0.092810 0.000643 0.000016
0.095307 0.000688 0.000036
0.097870 0.000709 0.000029
0.100498 0.000756 0.000049
0.103192 0.000753 0.000021
0.106017 0.000801 0.000021
0.108908 0.000818 0.000055
0.111865 0.000846 0.000032
0.114888 0.000863 0.000012
0.117976 0.000868 0.000011
0.121196 0.000875 0.000011
0.124547 0.000909 0.000027
0.127963 0.000911 0.000008
0.131446 0.000899 0.000009
0.135060 0.000892 0.000010
0.138805 0.000867 0.000045
0.142682 0.000844 0.000010
0.146624 0.000849 0.000009
0.150632 0.000812 0.000010
0.154772 0.000786 0.000007
0.159043 0.000739 0.000041
0.163445 0.000704 0.000020
0.167979 0.000662 0.000013
0.172644 0.000606 0.000044
0.177441 0.000556 0.000012
0.182369 0.000509 0.000013
0.187494 0.000443 0.000021
0.192816 0.000385 0.000088
0.198270 0.000334 0.000019
0.203855 0.000304 0.000037
0.209572 0.000258 0.000101
0.215485 0.000217 0.000016
0.221596 0.000165 0.000054
0.227904 0.000145 0.000021
0.234409 0.000105 0.000047
0.241045 0.000100 0.000122
0.247879 0.000092 0.000257
0.254975 0.000080 0.000090
0.262269 0.000073 0.000033
0.269759 0.000058 0.000075
0.277513 0.000063 0.000153
0.285463 0.000067 0.000214
0.293611 0.000054 0.000080
0.300313 0.000036 0.000242
