# Rebinned data: ./467491_SMA2p0_DMPC_Jun_RB.dat
# Original data: ./467491_SMA2p0_DMPC_Jun.dat
# q I dI
0.009888 0.027408 0.000182
0.010085 0.027199 0.000127
0.010348 0.027071 0.000122
0.010611 0.026669 0.000119
0.010874 0.026595 0.000114
0.011136 0.026443 0.000111
0.011399 0.026377 0.000106
0.011662 0.026296 0.000103
0.011925 0.026279 0.000100
0.012188 0.025786 0.000099
0.012451 0.025736 0.000097
0.012713 0.025854 0.000094
0.012976 0.025716 0.000091
0.013239 0.025537 0.000089
0.013502 0.025269 0.000087
0.013765 0.025304 0.000086
0.014028 0.024943 0.000083
0.014290 0.024905 0.000082
0.014553 0.024611 0.000082
0.014816 0.024748 0.000080
0.015079 0.024371 0.000079
0.015342 0.024368 0.000078
0.015604 0.024109 0.000076
0.015867 0.024067 0.000076
0.016196 0.023814 0.000061
0.016590 0.023544 0.000059
0.016984 0.023301 0.000058
0.017379 0.023023 0.000057
0.017773 0.022736 0.000056
0.018167 0.022586 0.000055
0.018561 0.022393 0.000055
0.018956 0.022033 0.000054
0.019350 0.021821 0.000053
0.019744 0.021508 0.000052
0.020138 0.021308 0.000051
0.020533 0.020981 0.000051
0.020927 0.020579 0.000050
0.021321 0.020485 0.000049
0.021781 0.020089 0.000042
0.022307 0.019786 0.000041
0.022832 0.019331 0.000040
0.023358 0.019005 0.000040
0.023884 0.018594 0.000039
0.024409 0.018231 0.000039
0.024935 0.017722 0.000038
0.025461 0.017436 0.000037
0.025986 0.017205 0.000037
0.026578 0.016662 0.000032
0.027235 0.016253 0.000031
0.027892 0.015773 0.000031
0.028549 0.015326 0.000030
0.029206 0.014786 0.000030
0.029863 0.014308 0.000029
0.030520 0.013873 0.000029
0.031177 0.013435 0.000030
0.031900 0.012916 0.000027
0.032688 0.012384 0.000027
0.033477 0.011913 0.000026
0.034265 0.011346 0.000026
0.035054 0.010874 0.000026
0.035842 0.010399 0.000025
0.036696 0.009850 0.000022
0.037616 0.009312 0.000022
0.038536 0.008758 0.000021
0.039456 0.008196 0.000021
0.040376 0.007780 0.000021
0.041362 0.007204 0.000019
0.042413 0.006675 0.000019
0.043464 0.006211 0.000019
0.044516 0.005713 0.000019
0.045567 0.005207 0.000019
0.046684 0.004803 0.000018
0.047867 0.004333 0.000018
0.049049 0.003920 0.000018
0.050232 0.003508 0.000018
0.051481 0.003115 0.000017
0.052795 0.002804 0.000017
0.054109 0.002440 0.000017
0.055489 0.002153 0.000016
0.056934 0.001851 0.000016
0.058380 0.001565 0.000016
0.059825 0.001375 0.000016
0.061337 0.001167 0.000016
0.062914 0.000984 0.000016
0.064491 0.000877 0.000016
0.066133 0.000796 0.000026
0.067842 0.000720 0.000021
0.069616 0.000661 0.000018
0.071455 0.000690 0.000014
0.073295 0.000683 0.000097
0.075201 0.000751 0.000014
0.077172 0.000834 0.000013
0.079209 0.000925 0.000014
0.081311 0.001013 0.000013
0.083480 0.001150 0.000026
0.085714 0.001276 0.000034
0.088014 0.001414 0.000012
0.090379 0.001559 0.000012
0.092810 0.001662 0.000011
0.095307 0.001818 0.000011
0.097870 0.001955 0.000011
0.100498 0.002097 0.000011
0.103192 0.002202 0.000010
0.106017 0.002298 0.000011
0.108908 0.002357 0.000012
0.111865 0.002441 0.000010
0.114888 0.002499 0.000010
0.117976 0.002542 0.000009
0.121196 0.002539 0.000009
0.124547 0.002574 0.000009
0.127963 0.002559 0.000009
0.131446 0.002559 0.000008
0.135060 0.002552 0.000008
0.138805 0.002497 0.000008
0.142682 0.002485 0.000008
0.146624 0.002425 0.000008
0.150632 0.002345 0.000007
0.154772 0.002287 0.000007
0.159043 0.002208 0.000007
0.163445 0.002124 0.000007
0.167979 0.002002 0.000007
0.172644 0.001886 0.000006
0.177441 0.001769 0.000007
0.182369 0.001635 0.000007
0.187494 0.001507 0.000006
0.192816 0.001348 0.000006
0.198270 0.001202 0.000006
0.203855 0.001053 0.000006
0.209572 0.000933 0.000006
0.215485 0.000798 0.000007
0.221596 0.000669 0.000008
0.227904 0.000574 0.000009
0.234409 0.000476 0.000013
0.241045 0.000412 0.000014
0.247879 0.000342 0.000009
0.254975 0.000310 0.000009
0.262269 0.000271 0.000101
0.269759 0.000248 0.000042
0.277513 0.000237 0.000031
0.285463 0.000219 0.000018
0.293611 0.000210 0.000019
0.300313 0.000185 0.000041
