# Rebinned data: ./467494_SMA5p0_DMPC_Peak1_Jun_RB.dat
# Original data: ./467494_SMA5p0_DMPC_Peak1_Jun.dat
# q I dI
0.098880 0.024222 0.000193
0.100851 0.024201 0.000133
0.103479 0.023983 0.000129
0.106108 0.023950 0.000126
0.108736 0.023680 0.000121
0.111364 0.023340 0.000116
0.113992 0.023578 0.000112
0.116621 0.023292 0.000110
0.119249 0.023066 0.000106
0.121877 0.023004 0.000105
0.124505 0.022785 0.000104
0.127134 0.022860 0.000100
0.129762 0.022573 0.000096
0.132390 0.022607 0.000094
0.135019 0.022595 0.000092
0.137647 0.022350 0.000091
0.140275 0.022204 0.000088
0.142903 0.021891 0.000088
0.145532 0.021782 0.000086
0.148160 0.021879 0.000085
0.150788 0.021677 0.000083
0.153417 0.021523 0.000082
0.156045 0.021431 0.000081
0.158673 0.021325 0.000080
0.161958 0.021035 0.000064
0.165901 0.020876 0.000063
0.169843 0.020624 0.000062
0.173786 0.020394 0.000061
0.177728 0.020317 0.000060
0.181671 0.019951 0.000059
0.185613 0.019668 0.000058
0.189555 0.019618 0.000057
0.193498 0.019316 0.000056
0.197440 0.019069 0.000055
0.201383 0.018821 0.000055
0.205325 0.018663 0.000054
0.209268 0.018383 0.000053
0.213210 0.018197 0.000052
0.217809 0.017918 0.000044
0.223066 0.017544 0.000044
0.228323 0.017267 0.000043
0.233579 0.016944 0.000042
0.238836 0.016568 0.000041
0.244092 0.016304 0.000041
0.249349 0.015955 0.000040
0.254605 0.015613 0.000040
0.259862 0.015441 0.000039
0.265776 0.015006 0.000034
0.272346 0.014595 0.000034
0.278917 0.014196 0.000033
0.285488 0.013854 0.000033
0.292058 0.013407 0.000032
0.298629 0.012970 0.000031
0.305200 0.012632 0.000031
0.311770 0.012243 0.000032
0.318998 0.011873 0.000029
0.326883 0.011361 0.000028
0.334768 0.010915 0.000028
0.342653 0.010515 0.000028
0.350538 0.010126 0.000028
0.358422 0.009629 0.000026
0.366964 0.009225 0.000024
0.376163 0.008757 0.000023
0.385362 0.008266 0.000023
0.394561 0.007810 0.000023
0.403760 0.007425 0.000022
0.413616 0.006946 0.000021
0.424129 0.006464 0.000021
0.434643 0.006081 0.000020
0.445156 0.005585 0.000020
0.455669 0.005179 0.000020
0.466839 0.004837 0.000019
0.478666 0.004490 0.000020
0.490494 0.004065 0.000020
0.502321 0.003699 0.000020
0.514805 0.003362 0.000019
0.527947 0.003028 0.000019
0.541088 0.002734 0.000019
0.554886 0.002409 0.000018
0.569342 0.002171 0.000018
0.583797 0.001861 0.000018
0.598253 0.001686 0.000018
0.613366 0.001450 0.000017
0.629135 0.001285 0.000019
0.644905 0.001114 0.000017
0.661332 0.001001 0.000016
0.678416 0.000922 0.000040
0.696156 0.000834 0.000015
0.714554 0.000779 0.000016
0.732952 0.000761 0.000015
0.752007 0.000731 0.000022
0.771720 0.000760 0.000020
0.792089 0.000782 0.000016
0.813115 0.000841 0.000017
0.834798 0.000912 0.000025
0.857139 0.000990 0.000013
0.880136 0.001065 0.000013
0.903791 0.001217 0.000146
0.928102 0.001270 0.000012
0.953071 0.001396 0.000012
0.978697 0.001496 0.000012
1.004979 0.001629 0.000011
1.031919 0.001707 0.000011
1.060173 0.001761 0.000011
1.089084 0.001862 0.000012
1.118653 0.001902 0.000011
1.148878 0.001975 0.000011
1.179760 0.002010 0.000010
1.211957 0.002035 0.000010
1.245467 0.002054 0.000009
1.279635 0.002035 0.000009
1.314459 0.002056 0.000009
1.350598 0.002045 0.000009
1.388051 0.002011 0.000008
1.426818 0.001973 0.000008
1.466243 0.001916 0.000008
1.506324 0.001862 0.000008
1.547719 0.001813 0.000008
1.590429 0.001736 0.000008
1.634453 0.001671 0.000007
1.679790 0.001588 0.000007
1.726442 0.001513 0.000007
1.774409 0.001417 0.000007
1.823689 0.001300 0.000007
1.874940 0.001213 0.000007
1.928163 0.001102 0.000006
1.982700 0.001007 0.000006
2.038551 0.000888 0.000006
2.095716 0.000778 0.000010
2.154852 0.000686 0.000007
2.215960 0.000588 0.000006
2.279038 0.000504 0.000011
2.344088 0.000416 0.000008
2.410452 0.000359 0.000012
2.478788 0.000311 0.000015
2.549751 0.000262 0.000012
2.622686 0.000232 0.000025
2.697592 0.000203 0.000072
2.775126 0.000163 0.000071
2.854632 0.000168 0.000016
2.936109 0.000179 0.000061
3.003130 0.000167 0.000047
