# Rebinned data: 467466_SMA_1prc_RB.dat
# Original data: 467466_SMA_1prc.dat
# q I dI
0.008574 0.073659 0.004087
0.008771 0.072942 0.002802
0.009034 0.074031 0.002711
0.009297 0.073765 0.002687
0.009559 0.072865 0.002609
0.009822 0.073096 0.002519
0.010085 0.073611 0.002462
0.010348 0.072380 0.002379
0.010611 0.072431 0.002317
0.010874 0.071795 0.002247
0.011136 0.072818 0.002169
0.011399 0.072316 0.002093
0.011662 0.071849 0.002054
0.011925 0.071043 0.001979
0.012188 0.071898 0.001979
0.012451 0.071562 0.001943
0.012713 0.072418 0.001891
0.012976 0.071530 0.001807
0.013239 0.070370 0.001775
0.013502 0.071062 0.001742
0.013765 0.071575 0.001732
0.014028 0.071515 0.001683
0.014290 0.071170 0.001674
0.014553 0.070977 0.001647
0.014882 0.070512 0.001318
0.015276 0.070114 0.001293
0.015670 0.069994 0.001265
0.016064 0.069918 0.001249
0.016459 0.069370 0.001226
0.016853 0.069858 0.001206
0.017247 0.069697 0.001192
0.017641 0.069730 0.001171
0.018036 0.069540 0.001157
0.018430 0.069197 0.001141
0.018824 0.069176 0.001127
0.019218 0.069185 0.001113
0.019613 0.068581 0.001096
0.020007 0.068466 0.001081
0.020467 0.068630 0.000925
0.020992 0.068251 0.000910
0.021518 0.067939 0.000895
0.022044 0.068160 0.000884
0.022569 0.067319 0.000870
0.023095 0.067404 0.000860
0.023621 0.066652 0.000846
0.024146 0.066854 0.000835
0.024672 0.066380 0.000827
0.025263 0.066271 0.000728
0.025920 0.065874 0.000718
0.026578 0.065931 0.000706
0.027235 0.065122 0.000695
0.027892 0.064838 0.000687
0.028549 0.064908 0.000679
0.029206 0.064483 0.000669
0.029863 0.063893 0.000659
0.030586 0.062967 0.000604
0.031374 0.062981 0.000610
0.032163 0.062916 0.000611
0.032951 0.061708 0.000607
0.033740 0.061957 0.000606
0.034528 0.061184 0.000603
0.035382 0.060622 0.000546
0.036302 0.060120 0.000526
0.037222 0.059813 0.000513
0.038142 0.059146 0.000502
0.039062 0.058427 0.000497
0.040047 0.057718 0.000468
0.041099 0.057241 0.000464
0.042150 0.056687 0.000462
0.043201 0.056003 0.000459
0.044253 0.055128 0.000456
0.045370 0.054410 0.000429
0.046552 0.053701 0.000442
0.047735 0.052903 0.000448
0.048918 0.052096 0.000451
0.050166 0.051257 0.000430
0.051481 0.050641 0.000432
0.052795 0.049748 0.000434
0.054175 0.048907 0.000414
0.055620 0.048078 0.000412
0.057066 0.047059 0.000408
0.058511 0.046021 0.000407
0.060022 0.045126 0.000389
0.061599 0.044099 0.000385
0.063176 0.043137 0.000381
0.064819 0.042261 0.000363
0.066527 0.040984 0.000358
0.068302 0.039978 0.000342
0.070141 0.038753 0.000336
0.071981 0.037699 0.000333
0.073887 0.036479 0.000318
0.075858 0.035345 0.000314
0.077895 0.034071 0.000300
0.079997 0.032947 0.000296
0.082166 0.031727 0.000283
0.084400 0.030682 0.000279
0.086699 0.029172 0.000267
0.089065 0.028045 0.000264
0.091496 0.026844 0.000253
0.093993 0.025527 0.000259
0.096556 0.024326 0.000245
0.099184 0.023194 0.000239
0.101878 0.022075 0.000229
0.104703 0.020727 0.000225
0.107594 0.019659 0.000242
0.110551 0.018560 0.000231
0.113574 0.017484 0.000218
0.116662 0.016286 0.000205
0.119882 0.015382 0.000194
0.123233 0.014337 0.000187
0.126649 0.013366 0.000184
0.130132 0.012399 0.000177
0.133746 0.011533 0.000171
0.137491 0.010639 0.000166
0.141368 0.009827 0.000160
0.145310 0.009114 0.000158
0.149318 0.008429 0.000154
0.153458 0.007729 0.000149
0.157729 0.007014 0.000145
0.162131 0.006464 0.000140
0.166665 0.005858 0.000136
0.171330 0.005434 0.000133
0.176127 0.004932 0.000129
0.181055 0.004583 0.000136
0.186180 0.004234 0.000129
0.191502 0.003817 0.000121
0.196956 0.003526 0.000117
0.202541 0.003202 0.000114
0.208257 0.002987 0.000111
0.214171 0.002787 0.000107
0.220282 0.002600 0.000104
0.226590 0.002497 0.000101
0.233095 0.002326 0.000102
0.239731 0.002238 0.000108
0.246565 0.002158 0.000108
0.253661 0.002080 0.000114
0.260954 0.002039 0.000131
0.268445 0.001981 0.000140
0.276198 0.001911 0.000148
0.284149 0.001871 0.000160
0.292297 0.001934 0.000172
0.300707 0.001772 0.000183
0.309381 0.001754 0.000204
0.318317 0.001786 0.000237
0.327516 0.001708 0.000297
0.336123 0.001560 0.000494
