# Rebinned data: 467467_SMA_0p5prc_RB.dat
# Original data: 467467_SMA_0p5prc.dat
# q I dI
0.008574 0.043307 0.003781
0.008771 0.040971 0.002569
0.009034 0.042508 0.002479
0.009297 0.042272 0.002456
0.009559 0.040904 0.002379
0.009822 0.041647 0.002291
0.010085 0.041672 0.002231
0.010348 0.041239 0.002154
0.010611 0.040470 0.002086
0.010874 0.040607 0.002023
0.011136 0.041051 0.001945
0.011399 0.040608 0.001873
0.011662 0.039864 0.001833
0.011925 0.040501 0.001770
0.012188 0.040596 0.001765
0.012451 0.040859 0.001737
0.012713 0.040963 0.001687
0.012976 0.040395 0.001612
0.013239 0.039650 0.001583
0.013502 0.040463 0.001554
0.013765 0.039983 0.001538
0.014028 0.040482 0.001496
0.014290 0.039622 0.001484
0.014553 0.040253 0.001462
0.014882 0.039823 0.001170
0.015276 0.039811 0.001149
0.015670 0.040316 0.001125
0.016064 0.039970 0.001110
0.016459 0.040003 0.001090
0.016853 0.039665 0.001068
0.017247 0.039348 0.001055
0.017641 0.039401 0.001036
0.018036 0.039174 0.001024
0.018430 0.038784 0.001008
0.018824 0.038860 0.000996
0.019218 0.038648 0.000982
0.019613 0.039051 0.000971
0.020007 0.038716 0.000956
0.020467 0.038438 0.000816
0.020992 0.038211 0.000803
0.021518 0.038325 0.000791
0.022044 0.038387 0.000781
0.022569 0.037844 0.000769
0.023095 0.037583 0.000759
0.023621 0.037492 0.000748
0.024146 0.037418 0.000737
0.024672 0.037005 0.000730
0.025263 0.036885 0.000643
0.025920 0.036752 0.000635
0.026578 0.036770 0.000623
0.027235 0.036400 0.000615
0.027892 0.036109 0.000607
0.028549 0.035734 0.000598
0.029206 0.035814 0.000591
0.029863 0.035465 0.000583
0.030586 0.034930 0.000535
0.031374 0.034980 0.000540
0.032163 0.034737 0.000540
0.032951 0.034243 0.000538
0.033740 0.034088 0.000536
0.034528 0.033873 0.000535
0.035382 0.033275 0.000484
0.036302 0.032854 0.000466
0.037222 0.032756 0.000455
0.038142 0.032405 0.000446
0.039062 0.031916 0.000442
0.040047 0.031351 0.000415
0.041099 0.031317 0.000413
0.042150 0.030729 0.000411
0.043201 0.030370 0.000408
0.044253 0.029710 0.000406
0.045370 0.029311 0.000382
0.046552 0.028950 0.000394
0.047735 0.028666 0.000401
0.048918 0.028171 0.000404
0.050166 0.027414 0.000385
0.051481 0.027125 0.000387
0.052795 0.026545 0.000389
0.054175 0.026083 0.000372
0.055620 0.025609 0.000370
0.057066 0.025091 0.000367
0.058511 0.024395 0.000367
0.060022 0.023956 0.000351
0.061599 0.023327 0.000348
0.063176 0.022710 0.000345
0.064819 0.022138 0.000329
0.066527 0.021422 0.000325
0.068302 0.021009 0.000311
0.070141 0.020448 0.000307
0.071981 0.019645 0.000304
0.073887 0.019095 0.000291
0.075858 0.018458 0.000288
0.077895 0.017743 0.000276
0.079997 0.017139 0.000273
0.082166 0.016419 0.000262
0.084400 0.015933 0.000259
0.086699 0.015156 0.000249
0.089065 0.014513 0.000246
0.091496 0.013924 0.000236
0.093993 0.013247 0.000243
0.096556 0.012530 0.000231
0.099184 0.012030 0.000225
0.101878 0.011411 0.000217
0.104703 0.010784 0.000214
0.107594 0.010266 0.000230
0.110551 0.009643 0.000220
0.113574 0.009152 0.000209
0.116662 0.008483 0.000197
0.119882 0.008049 0.000187
0.123233 0.007508 0.000181
0.126649 0.007047 0.000178
0.130132 0.006506 0.000172
0.133746 0.006110 0.000167
0.137491 0.005618 0.000162
0.141368 0.005238 0.000157
0.145310 0.004785 0.000155
0.149318 0.004416 0.000151
0.153458 0.004090 0.000146
0.157729 0.003740 0.000142
0.162131 0.003453 0.000138
0.166665 0.003119 0.000135
0.171330 0.002946 0.000131
0.176127 0.002628 0.000128
0.181055 0.002478 0.000135
0.186180 0.002296 0.000128
0.191502 0.002064 0.000120
0.196956 0.001924 0.000116
0.202541 0.001735 0.000113
0.208257 0.001618 0.000110
0.214171 0.001507 0.000106
0.220282 0.001427 0.000104
0.226590 0.001386 0.000100
0.233095 0.001292 0.000102
0.239731 0.001222 0.000108
0.246565 0.001174 0.000108
0.253661 0.001125 0.000114
0.260954 0.001137 0.000131
0.268445 0.001087 0.000140
0.276198 0.001070 0.000148
0.284149 0.001024 0.000160
0.292297 0.001063 0.000171
0.300707 0.000974 0.000183
0.309381 0.000966 0.000204
0.318317 0.000987 0.000237
0.327516 0.000934 0.000297
0.336123 0.000708 0.000493
